Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,3,1,Heavy oil,1896
Car,2,1,Petrol,1834
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,2402
Taxi/Private hire car,8,1,Heavy oil,2664
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,2,1,Heavy oil,1461
Taxi/Private hire car,4,1,Petrol,1590
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,3900
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,1896
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1998
Motorcycle over 500cc,2,1,Petrol,599
Taxi/Private hire car,1,1,Petrol,1794
Car,6,1,Petrol,1800
Car,6,1,Petrol,1800
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle over 125cc and up to 500cc,27,1,Petrol,398
Motorcycle over 500cc,6,1,Petrol,600
Motorcycle over 125cc and up to 500cc,2,1,Petrol,498
Motorcycle over 125cc and up to 500cc,13,1,Petrol,400
Motorcycle over 125cc and up to 500cc,13,1,Petrol,400
Motorcycle over 500cc,8,1,Petrol,893
Motorcycle over 500cc,9,1,Petrol,599
Motorcycle over 500cc,5,1,Petrol,599
Car,5,1,Petrol,1598
Car,3,1,Heavy oil,1896
Motorcycle over 500cc,5,1,Petrol,647
Motorcycle over 500cc,1,1,Petrol,618
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,3900
Motorcycle over 125cc and up to 500cc,10,1,Petrol,498
Car,15,1,Petrol,1598
Taxi/Private hire car,12,1,Heavy oil,2664
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,11000
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Motorcycle over 500cc,1,1,Petrol,652
Car,10,1,Petrol,1796
Motorcycle over 500cc,7,1,Petrol,900
Taxi/Private hire car,9,1,Heavy oil,2664
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Bus or coach (17 or more pass seats),21,1,Heavy oil,10450
Motorcycle 125cc and under,6,1,Petrol,124
Car,7,1,Petrol,1985
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle 125cc and under,2,1,Petrol,125
Car,11,1,Petrol,1597
Taxi/Private hire car,3,1,Heavy oil,2664
Taxi/Private hire car,3,1,Heavy oil,2664
Motorcycle over 500cc,2,1,Petrol,599
Motorcycle 125cc and under,3,1,Petrol,85
Motorcycle over 500cc,2,1,Petrol,1402
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,10,1,Petrol,2438
Taxi/Private hire car,2,1,Heavy oil,1896
Motorcycle 125cc and under,7,1,Petrol,85
Motorcycle 125cc and under,3,1,Petrol,124
Car,6,1,Petrol,1796
Car,6,1,Petrol,1796
Car,3,1,Heavy oil,2151
Car,8,1,Petrol,1370
Motorcycle over 500cc,1,1,Petrol,645
Car,13,1,Petrol,1390
Car,13,1,Petrol,1390
Taxi/Private hire car,12,1,Heavy oil,2664
Motorcycle 50cc and under,1,1,Petrol,49
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1461
Taxi/Private hire car,6,1,Petrol,1762
Motorcycle over 500cc,1,1,Petrol,600
Car,13,1,Petrol,2986
Motorcycle 125cc and under,5,1,Petrol,124
Van / Goods 3.5 tonnes mgw or under,11,1,Heavy oil,1896
Van / Goods 3.5 tonnes mgw or under,11,1,Heavy oil,1896
Motorcycle 50cc and under,1,1,Petrol,49
Taxi/Private hire car,15,1,Heavy oil,2664
Taxi/Private hire car,15,1,Heavy oil,2664
